annunziatrice,de,1
l'assanni,così,1
mane,vid'io,0.2,e,0.6,ha,0.2
imo,si,0.166667,là,0.166667,.,0.333333,ad,0.166667,de,0.166667
mani,sporte,0.045455,angeliche,0.045455,avvinsi,0.045455,!,0.045455,a,0.0909,or,0.045455,e,0.0909,omai,0.045455,per,0.045455,quando,0.045455,inver',0.045455,al,0.045455,.,0.045455,graffia,0.045455,che,0.0909,il,0.045455,in,0.045455,alzò,0.045455,lei,0.045455
clima,sì,1
ch'alcuna,gloria,0.2,via,0.2,stella,0.2,sen,0.2,offerta,0.2
m'inventro,la,1
dille,!,1
ridure,ad,1
mano,attribuisce,0.0303,a,0.242424,aprimi,0.0303,un,0.0303,ad,0.0606,e,0.151515,avvolti,0.0303,quando,0.0303,inver',0.0303,al,0.0303,ma,0.0303,.,0.0606,già,0.0303,che,0.0909,d'i,0.0303,in,0.0303,gridò,0.0303,stanca,0.0303
s'avvalorava,in,1
chiesa,coi,0.0625,vaca,0.0625,si,0.0625,con,0.0625,a,0.0625,militante,0.0625,mossi,0.0625,di,0.0625,che,0.125,ancor,0.0625,guarda,0.0625,in,0.125,suo,0.0625,sotto,0.0625
dilli,che,0.333333,chi,0.333333,tosto,0.333333
pestar,mi,1
chiese,questi,0.166667,silvestro,0.166667,lucia,0.166667,senno,0.166667,ben,0.166667,se,0.166667
stupendo,e,1
dillo,a,1
chiesi,e,1
null'altra,pianta,1
crescendo,sempre,1
n'accende,cura,1
spiacente,.,1
smarrirsi,e,1
spiacenti,e,1
registra,vidi,0.5,.,0.5
doccia,a,0.5,infin,0.5
null'altro,rio,1
santafior,com'è,1
vela,perché,0.25,di,0.25,così,0.25,a',0.25
oltraggio,.,0.333333,veggendo,0.333333,se,0.333333
vengiò,con,1
saladino,.,1
vele,di,0.166667,.,0.166667,?,0.166667,e,0.166667,omai,0.166667,caggiono,0.166667
strazio,?,0.25,e,0.25,disonesto,0.25,far,0.25
lasciando,l'atto,0.2,orribili,0.2,il,0.4,dietro,0.2
dilmi,e,1
veli,.,0.5,sì,0.5
accatta,?,1
velo,di,0.1,che,0.1,come,0.1,del,0.2,e,0.3,è,0.1,sotto,0.1
dividendo,bene,1
cortesia,fu,0.142857,là,0.142857,di,0.142857,dimesso,0.142857,del,0.142857,e,0.142857,trovarsi,0.142857
successor,parte,0.25,petri,0.25,temenza,0.25,del,0.25
acceffa',.,1
s'anima,è,1
tever,si,1
patrici,di,1
trasse,due,0.05,beatrice,0.05,fotin,0.05,a,0.1,infino,0.05,e,0.05,per,0.05,la,0.1,al,0.05,guiglielmo,0.05,roma,0.05,le,0.1,ver',0.05,del,0.05,il,0.05,dicendo,0.05,mee,0.05
rotture,sanguinenti,1
allungar,quanto,1
trassi,.,0.2,a,0.2,il,0.2,oltre,0.2,de,0.2
latria,.,1
ripriego,che,1
disuna,da,1
vena,spiccia,0.2,.,0.4,che,0.2,preme,0.2
vergognar,ti,1
trasselo,al,1
vene,.,0.272727,ammaestrato,0.0909,farsi,0.0909,e,0.363636,vane,0.0909,ovidio,0.0909
pazzi,e,1
veni,sponsa,1
pazzo,.,0.5,che,0.5
caccia,di,0.0909,.,0.363636,via,0.0909,a,0.0909,letizia,0.0909,e,0.0909,il,0.0909,d'ascian,0.0909
s'intoppa,.,0.5,così,0.5
loico,fossi,1
degnamente,convien,1
naiade,che,1
mare,aperto,0.1,al,0.1,più,0.1,andavi,0.1,sgorga,0.1,ancora,0.1,e,0.1,entro,0.1,è,0.1,intorno,0.1
aquella,valor,1
canali,freddi,1
stricca,che,1
l'assannò,sì,1
mensola,talvolta,1
d'ingegno,avanti,0.333333,qual,0.333333,mio,0.333333
stimolati,molto,1
ira,.,0.125,o,0.125,?,0.125,assai,0.125,hai,0.125,folle,0.125,volsimi,0.125,li,0.125
ire,al,0.125,.,0.25,a,0.125,in,0.25,a',0.125,parea,0.125
combattuto,.,0.5,ond'ei,0.5
iri,da,0.5,parea,0.5
l'hai,ne,0.333333,come,0.333333,tu,0.333333
ingegno,di,0.066667,.,0.133333,con,0.066667,che,0.2,or,0.066667,ne,0.066667,rispuos'io,0.066667,sottile,0.066667,e,0.133333,però,0.066667,parea,0.066667
ver',lo,0.133333,la,0.133333,durazzo,0.033333,le,0.033333,me,0.2,l'alta,0.033333,noi,0.2,ponente,0.033333,lui,0.166667,lei,0.033333
gittai,a',1
espremer,quel,1
gittan,tanto,1
